Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Israel Abanikanda,RB,Pittsburgh,5,143,https://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,70,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Yasir Abdullah,LB,Louisville,5,136,https://www.sports-reference.com/cfb/players/yasir-abdullah-1.html,73,237,4.47,,36.5,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Devon Achane,RB,Texas A&M,3,84,https://www.sports-reference.com/cfb/players/devon-achane-1.html,69,188,4.32,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jordan Addison,WR,USC,1,23,https://www.sports-reference.com/cfb/players/jordan-addison-1.html,71,173,4.49,,34.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Adetomiwa Adebawore,DE,Northwestern,4,110,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,74,282,4.49,27.0,37.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Alan Ali,C,TCU,0,0,https://www.sports-reference.com/cfb/players/alan-ali-1.html,76,301,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Davis Allen,TE,Clemson,5,175,https://www.sports-reference.com/cfb/players/davis-allen-1.html,78,245,,,38.5,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
MJ Anderson,DE,Iowa St.,0,0,https://www.sports-reference.com/cfb/players/mj-anderson-1.html,75,269,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Jake Andrews,C,Troy,4,107,https://www.sports-reference.com/cfb/players/jake-andrews-1.html,75,305,5.15,,26.0,102.0,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Felix Anudike-Uzomah,EDGE,Kansas St.,1,31,https://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html,75,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
