Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Tyler Badie,RB,Missouri,6,196,https://www.sports-reference.com/cfb/players/tyler-badie-1.html,68,197,4.45,,33.5,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kalon Barnes,CB,Baylor,7,242,https://www.sports-reference.com/cfb/players/kalon-barnes-1.html,72,183,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Amaré Barno,EDGE,Virginia Tech,6,189,https://www.sports-reference.com/cfb/players/amare-barno-1.html,77,246,4.36,,37.0,131.0,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Darrian Beavers,LB,Cincinnati,6,182,https://www.sports-reference.com/cfb/players/darrian-beavers-1.html,76,237,,,36.5,125.0,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
David Bell,WR,Purdue,3,99,https://www.sports-reference.com/cfb/players/david-bell-6.html,73,212,4.65,,33.0,118.0,7.14,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Greg Bell,RB,San Diego St.,0,0,https://www.sports-reference.com/cfb/players/greg-bell-5.html,71,201,,17.0,31.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Daniel Bellinger,TE,San Diego St.,4,112,https://www.sports-reference.com/cfb/players/daniel-bellinger-1.html,77,253,4.63,22.0,34.5,125.0,7.05,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Dane Belton,S,Iowa,4,114,https://www.sports-reference.com/cfb/players/dane-belton-1.html,73,205,4.43,,36.5,123.0,7.01,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Terrel Bernard,LB,Baylor,3,89,https://www.sports-reference.com/cfb/players/terrel-bernard-1.html,73,224,,22.0,35.5,123.0,7.03,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Bubba Bolden,S,Miami,0,0,https://www.sports-reference.com/cfb/players/bubba-bolden-1.html,74,209,4.47,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Slade Bolden,WR,Alabama,0,0,https://www.sports-reference.com/cfb/players/slade-bolden-1.html,71,193,4.66,,32.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Nik Bonitto,EDGE,Oklahoma,2,64,https://www.sports-reference.com/cfb/players/nik-bonitto-1.html,75,248,4.54,,35.5,120.0,7.07,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Thomas Booker,DT,Stanford,5,150,https://www.sports-reference.com/cfb/players/thomas-booker-1.html,75,301,4.94,,,110.0,7.33,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Andrew Booth,CB,Clemson,2,42,https://www.sports-reference.com/cfb/players/andrew-booth-jr-1.html,72,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Max Borghi,RB,Washington St.,0,0,https://www.sports-reference.com/cfb/players/max-borghi-1.html,69,210,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jaquan Brisker,S,Penn St.,2,48,https://www.sports-reference.com/cfb/players/jaquan-brisker-1.html,73,199,4.49,22.0,34.5,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Gabe Brkic,K,Oklahoma,0,0,https://www.sports-reference.com/cfb/players/gabe-brkic-1.html,74,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kennedy Brooks,RB,Oklahoma,0,0,https://www.sports-reference.com/cfb/players/kennedy-brooks-1.html,71,209,4.59,,31.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Ben Brown,C,Mississippi,0,0,https://www.sports-reference.com/cfb/players/ben-brown-3.html,77,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Leddie Brown,RB,West Virginia,0,0,https://www.sports-reference.com/cfb/players/leddie-brown-1.html,72,213,4.64,,30.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Montaric Brown,CB,Arkansas,7,222,https://www.sports-reference.com/cfb/players/montaric-brown-1.html,72,196,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Logan Bruss,OG,Wisconsin,3,104,https://www.sports-reference.com/cfb/players/logan-bruss-1.html,77,309,5.32,,31.0,112.0,7.57,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Coby Bryant,CB,Cincinnati,4,109,https://www.sports-reference.com/cfb/players/coby-bryant-1.html,73,193,4.54,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Spencer Burford,OG,Texas-San Antonio,4,134,https://www.sports-reference.com/cfb/players/spencer-burford-1.html,76,304,5.19,,27.5,105.0,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Treylon Burks,WR,Arkansas,1,18,https://www.sports-reference.com/cfb/players/treylon-burks-1.html,74,225,4.55,,33.0,122.0,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Darien Butler,LB,Arizona St.,0,0,https://www.sports-reference.com/cfb/players/darien-butler-1.html,70,221,,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Matthew Butler,DT,Tennessee,5,175,https://www.sports-reference.com/cfb/players/matthew-butler-1.html,76,297,5.0,17.0,32.0,112.0,7.89,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Percy Butler,S,Louisiana,4,113,https://www.sports-reference.com/cfb/players/percy-butler-1.html,72,194,4.36,,31.5,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Grant Calcaterra,TE,SMU,6,198,https://www.sports-reference.com/cfb/players/grant-calcaterra-1.html,76,241,4.62,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jake Camarda,P,Georgia,4,133,https://www.sports-reference.com/cfb/players/jake-camarda-1.html,73,193,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Chance Campbell,LB,Mississippi,6,219,https://www.sports-reference.com/cfb/players/chance-campbell-1.html,74,232,4.57,,39.5,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Zachary Carter,DE,Florida,3,95,https://www.sports-reference.com/cfb/players/zachary-carter-1.html,76,282,4.99,19.0,27.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tariq Castro-Fields,CB,Penn St.,6,221,https://www.sports-reference.com/cfb/players/tariq-castro-fields-1.html,73,197,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tykevious Chandler,RB,North Carolina,5,169,https://www.sports-reference.com/cfb/players/ty-chandler-1.html,71,204,4.38,,31.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Leo Chenal,LB,Wisconsin,3,103,https://www.sports-reference.com/cfb/players/leo-chenal-1.html,75,250,4.53,,40.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Lewis Cine,S,Georgia,1,32,https://www.sports-reference.com/cfb/players/lewis-cine-1.html,74,199,4.37,,36.5,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Damone Clark,LB,LSU,5,176,https://www.sports-reference.com/cfb/players/damone-clark-1.html,75,239,4.57,,36.5,127.0,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Micheal Clemons,DE,Texas A&M,4,117,https://www.sports-reference.com/cfb/players/micheal-clemons-1.html,77,263,,24.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jack Coan,QB,Notre Dame,0,0,https://www.sports-reference.com/cfb/players/jack-coan-1.html,75,218,4.9,,33.0,115.0,6.95,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Qwynnterrio Cole,S,Louisville,0,0,https://www.sports-reference.com/cfb/players/qwynnterio-cole-1.html,72,206,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Snoop Conner,RB,Mississippi,5,154,https://www.sports-reference.com/cfb/players/snoop-conner-1.html,70,222,4.59,25.0,29.5,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Bryan Cook,S,Cincinnati,2,62,https://www.sports-reference.com/cfb/players/bryan-cook-2.html,73,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
James Cook,RB,Georgia,2,63,https://www.sports-reference.com/cfb/players/james-cook-2.html,71,199,4.42,,33.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jashaun Corbin,RB,Florida St.,0,0,https://www.sports-reference.com/cfb/players/jashaun-corbin-1.html,71,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Yusuf Corker,S,Kentucky,0,0,https://www.sports-reference.com/cfb/players/yusuf-corker-1.html,72,203,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Matt Corral,QB,Mississippi,3,94,https://www.sports-reference.com/cfb/players/matt-corral-1.html,74,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Charles Cross,OT,Mississippi St.,1,9,https://www.sports-reference.com/cfb/players/charles-cross-1.html,77,307,4.95,,26.0,112.0,7.88,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Nick Cross,S,Maryland,3,96,https://www.sports-reference.com/cfb/players/nick-cross-1.html,72,212,4.34,,37.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Dustin Crum,QB,Kent St.,0,0,https://www.sports-reference.com/cfb/players/dustin-crum-1.html,73,210,4.75,,32.5,120.0,,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Myron Cunningham,OT,Arkansas,0,0,https://www.sports-reference.com/cfb/players/myron-cunningham-1.html,77,320,5.38,,20.0,98.0,8.5,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
DJ Davidson,DT,Arizona St.,5,147,https://www.sports-reference.com/cfb/players/dj-davidson-1.html,75,327,,23.0,28.0,,7.85,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jordan Davis,DT,Georgia,1,13,https://www.sports-reference.com/cfb/players/jordan-davis-9.html,78,341,4.78,,32.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kalia Davis,DT,Central Florida,6,220,https://www.sports-reference.com/cfb/players/kalia-davis-1.html,73,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tyrion Davis-Price,RB,LSU,3,93,https://www.sports-reference.com/cfb/players/tyrion-davis-price-1.html,72,211,4.48,,30.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Nakobe Dean,LB,Georgia,3,83,https://www.sports-reference.com/cfb/players/nakobe-dean-1.html,71,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Dawson Deaton,C,Texas Tech,7,246,https://www.sports-reference.com/cfb/players/dawson-deaton-1.html,78,306,5.12,24.0,29.0,108.0,7.52,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Austin Deculus,OT,LSU,6,205,https://www.sports-reference.com/cfb/players/austin-deculus-1.html,77,321,5.08,,28.5,109.0,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Cameron Dicker,K,Texas,0,0,https://www.sports-reference.com/cfb/players/cameron-dicker-2.html,73,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kellen Diesch,OT,Arizona St.,0,0,https://www.sports-reference.com/cfb/players/kellen-diesch-1.html,79,301,4.89,,32.5,110.0,7.77,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
JoJo Domann,LB,Nebraska,0,0,https://www.sports-reference.com/cfb/players/jojo-domann-1.html,73,228,4.62,,34.5,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jahan Dotson,WR,Penn St.,1,16,https://www.sports-reference.com/cfb/players/jahan-dotson-1.html,71,178,4.43,,36.0,121.0,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Romeo Doubs,WR,Nevada,4,132,https://www.sports-reference.com/cfb/players/romeo-doubs-1.html,74,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Dontario Drummond,WR,Mississippi,0,0,https://www.sports-reference.com/cfb/players/dontario-drummond-1.html,73,215,4.65,,34.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Greg Dulcich,TE,UCLA,3,80,https://www.sports-reference.com/cfb/players/greg-dulcich-1.html,76,243,4.69,16.0,34.0,122.0,7.05,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
William Dunkle,OG,San Diego St.,0,0,https://www.sports-reference.com/cfb/players/william-dunkle-1.html,77,328,5.44,25.0,26.0,95.0,7.97,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jerrion Ealy,RB,Mississippi,0,0,https://www.sports-reference.com/cfb/players/jerrion-ealy-1.html,68,189,4.52,,34.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Arnold Ebiketie,EDGE,Penn St.,2,38,https://www.sports-reference.com/cfb/players/arnold-ebiketie-1.html,74,250,,21.0,38.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Trestan Ebner,RB,Baylor,6,203,https://www.sports-reference.com/cfb/players/trestan-ebner-1.html,71,206,4.43,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Ikem Ekwonu,OT,North Carolina St.,1,6,https://www.sports-reference.com/cfb/players/ikem-ekwonu-1.html,76,310,4.93,,29.0,108.0,7.82,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kaiir Elam,CB,Florida,1,23,https://www.sports-reference.com/cfb/players/kaiir-elam-1.html,74,191,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kaleb Eleby,QB,Western Michigan,0,0,https://www.sports-reference.com/cfb/players/kaleb-eleby-1.html,73,208,,,25.5,111.0,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Martin Emerson,CB,Mississippi St.,3,68,https://www.sports-reference.com/cfb/players/martin-emerson-1.html,74,201,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kingsley Enagbare,DE,South Carolina,5,179,https://www.sports-reference.com/cfb/players/kingsley-enagbare-1.html,76,258,4.87,,36.5,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Akayleb Evans,CB,Missouri,4,118,https://www.sports-reference.com/cfb/players/akayleb-evans-1.html,74,197,4.46,,36.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Obinna Eze,OT,TCU,0,0,https://www.sports-reference.com/cfb/players/obinna-eze-1.html,79,321,5.17,18.0,27.5,104.0,8.2,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Joshua Ezeudu,OG,North Carolina,3,67,https://www.sports-reference.com/cfb/players/joshua-ezeudu-1.html,76,308,5.19,,28.5,105.0,7.83,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Erik Ezukanma,WR,Texas Tech,4,125,https://www.sports-reference.com/cfb/players/erik-ezukanma-1.html,74,209,,,36.5,126.0,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Daniel Faalele,OT,Minnesota,4,110,https://www.sports-reference.com/cfb/players/daniel-faalele-1.html,80,384,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Neil Farrell,DT,LSU,4,126,https://www.sports-reference.com/cfb/players/neil-farrell-jr-1.html,76,330,5.41,,21.5,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jake Ferguson,TE,Wisconsin,4,129,https://www.sports-reference.com/cfb/players/jake-ferguson-1.html,77,250,4.81,15.0,31.5,118.0,7.03,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
DaMarcus Fields,CB,Texas Tech,0,0,https://www.sports-reference.com/cfb/players/damarcus-fields-1.html,72,193,4.48,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Cordale Flott,CB,LSU,3,81,https://www.sports-reference.com/cfb/players/cordale-flott-1.html,73,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jerome Ford,RB,Cincinnati,5,156,https://www.sports-reference.com/cfb/players/jerome-ford-1.html,71,210,4.46,,31.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jonathan Ford,DT,Miami,7,234,https://www.sports-reference.com/cfb/players/jonathan-ford-1.html,77,333,,,29.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Luke Fortner,C,Kentucky,3,65,https://www.sports-reference.com/cfb/players/luke-fortner-1.html,76,307,5.21,,24.0,102.0,7.75,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Ty Fryfogle,WR,Indiana,0,0,https://www.sports-reference.com/cfb/players/ty-fryfogle-1.html,73,204,4.53,,39.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Ahmad Gardner,CB,Cincinnati,1,4,https://www.sports-reference.com/cfb/players/ahmad-gardner-1.html,75,190,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Haskell Garrett,DT,Ohio St.,0,0,https://www.sports-reference.com/cfb/players/haskell-garrett-1.html,74,300,5.07,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jeremiah Gemmel,LB,North Carolina,0,0,https://www.sports-reference.com/cfb/players/jeremiah-gemmel-1.html,73,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Trenton Gill,P,North Carolina St.,7,255,https://www.sports-reference.com/cfb/players/trenton-gill-1.html,76,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Luke Goedeke,OG,Central Michigan,2,57,https://www.sports-reference.com/cfb/players/luke-goedeke-1.html,77,312,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Mario Goodrich,CB,Clemson,0,0,https://www.sports-reference.com/cfb/players/mario-goodrich-1.html,72,176,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tyler Goodson,RB,Iowa,0,0,https://www.sports-reference.com/cfb/players/tyler-goodson-1.html,69,197,4.42,,36.5,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Kyler Gordon,CB,Washington,2,39,https://www.sports-reference.com/cfb/players/kyler-gordon-1.html,72,194,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Isaiah Graham-Mobley,LB,Boston Col.,0,0,https://www.sports-reference.com/cfb/players/isaiah-graham-mobley-1.html,73,230,4.63,,34.5,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
