Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Cal Adomitis,LS,Pittsburgh,0,0,https://www.sports-reference.com/cfb/players/cal-adomitis-1.html,74,235,4.97,18.0,29.5,107.0,7.53,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Austin Allen,TE,Nebraska,0,0,https://www.sports-reference.com/cfb/players/austin-allen-2.html,80,253,4.83,,34.0,121.0,7.0,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Chase Allen,TE,Iowa St.,0,0,https://www.sports-reference.com/cfb/players/chase-allen-1.html,78,251,,,33.5,117.0,7.03,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Christopher Allen,EDGE,Alabama,0,0,https://www.sports-reference.com/cfb/players/christopher-allen-1.html,76,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tyler Allgeier,RB,BYU,5,151,https://www.sports-reference.com/cfb/players/tyler-allgeier-1.html,71,224,4.6,,33.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Tycen Anderson,S,Toledo,5,166,https://www.sports-reference.com/cfb/players/tycen-anderson-1.html,74,209,4.36,,35.5,123.0,6.64,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Matt Araiza,P,San Diego St.,6,180,https://www.sports-reference.com/cfb/players/matt-araiza-1.html,73,200,4.68,,32.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Jalyn Armour-Davis,CB,Alabama,4,119,https://www.sports-reference.com/cfb/players/jalyn-armour-davis-1.html,73,197,4.39,14.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Brian Asamoah,LB,Oklahoma,3,66,https://www.sports-reference.com/cfb/players/brian-asamoah-ll-1.html,72,226,4.56,,36.5,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Calvin Austin,WR,Memphis,4,138,https://www.sports-reference.com/cfb/players/calvin-austin-iii-1.html,68,170,4.32,,39.0,135.0,6.65,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
