Name,Position,College,Round,Pick,Stat URL,Height,Weight,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,3 Cone Drill,Shuttle,conf_abbr,games,seasons,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_int,pass_rating,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tdxpm,xpa,xp_pct,fgm,fga,fg_pct,kick_points,punt,punt_yds,punt_yds_per_punt,Year
Jonathan Adams,WR,Arkansas St.,0,0,https://www.sports-reference.com/cfb/players/jonathan-adams-jr-1.html,74.0,210.0,4.59,,39.0,132.0,7.04,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Paulson Adebo,CB,Stanford,3,76,https://www.sports-reference.com/cfb/players/paulson-adebo-1.html,73.0,198.0,4.45,18.0,36.5,121.0,6.69,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Giles Amos,TE,Arkansas St.,0,0,https://www.sports-reference.com/cfb/players/giles-amos-1.html,75.0,250.0,5.14,,28.5,111.0,7.65,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Zayne Anderson,LB,BYU,0,0,https://www.sports-reference.com/cfb/players/zayne-anderson-1.html,,,4.46,11.0,34.0,120.0,6.78,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Otis Anderson,RB,Central Florida,0,0,https://www.sports-reference.com/cfb/players/otis-anderson-1.html,67.0,179.0,4.63,11.0,36.0,113.0,7.04,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Jack Anderson,OL,Texas Tech,7,236,https://www.sports-reference.com/cfb/players/jack-anderson-3.html,76.0,314.0,5.28,27.0,29.5,105.0,7.9,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dan Archibong,DT,Temple,0,0,https://www.sports-reference.com/cfb/players/dan-archibong-1.html,77.0,295.0,5.35,28.0,28.5,100.0,8.16,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Jaytlin Askew,DB,Georgia Tech,0,0,https://www.sports-reference.com/cfb/players/jaytlin-askew-1.html,68.0,180.0,4.51,18.0,35.5,125.0,7.1,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tutu Atwell,WR,Louisville,2,57,https://www.sports-reference.com/cfb/players/chatarius-atwell-1.html,68.0,155.0,4.42,,33.0,117.0,6.89,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kayode Awosika,OL,Buffalo,0,0,https://www.sports-reference.com/cfb/players/kayode-awosika-1.html,75.0,307.0,5.19,28.0,30.0,100.0,8.15,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kawaan Baker,WR,South Alabama,0,0,https://www.sports-reference.com/cfb/players/kawaan-baker-1.html,72.0,210.0,4.44,21.0,39.5,129.0,7.42,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Josh Ball,OL,Marshall,4,138,https://www.sports-reference.com/cfb/players/josh-ball-1.html,79.0,308.0,5.2,28.0,27.5,106.0,7.77,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Aaron Banks,OL,Notre Dame,2,48,https://www.sports-reference.com/cfb/players/aaron-banks-4.html,77.0,325.0,5.32,24.0,31.0,100.0,7.69,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Cole Banwart,OL,Iowa,0,0,https://www.sports-reference.com/cfb/players/cole-banwart-1.html,73.0,298.0,5.12,22.0,27.5,103.0,7.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Christian Barmore,DL,Alabama,2,38,https://www.sports-reference.com/cfb/players/christian-barmore-1.html,76.0,310.0,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Derrick Barnes,DE,Purdue,4,113,https://www.sports-reference.com/cfb/players/derrick-barnes-2.html,72.0,238.0,4.57,29.0,37.0,119.0,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Carlos Basham,DL,Wake Forest,2,61,https://www.sports-reference.com/cfb/players/carlos-basham-jr-1.html,75.0,274.0,4.64,20.0,34.0,122.0,7.13,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Rashod Bateman,WR,Minnesota,1,27,https://www.sports-reference.com/cfb/players/rashod-bateman-1.html,72.0,190.0,4.39,,36.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
John Bates,TE,Boise St.,0,0,https://www.sports-reference.com/cfb/players/john-bates-1.html,77.0,250.0,4.84,19.0,31.5,120.0,6.85,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Adam Bay,LS,Wisconsin,0,0,https://www.sports-reference.com/cfb/players/adam-bay-1.html,71.0,240.0,5.27,14.0,26.0,100.0,7.65,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tavante Beckett,LB,Marshall,0,0,https://www.sports-reference.com/cfb/players/tavante-beckett-1.html,70.0,220.0,4.78,18.0,31.0,106.0,7.34,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Chase Behrndt,OL,West Virginia,0,0,https://www.sports-reference.com/cfb/players/chase-behrndt-1.html,75.0,324.0,5.55,25.0,24.5,101.0,8.21,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Shaun Beyer,TE,Iowa,0,0,https://www.sports-reference.com/cfb/players/shaun-beyer-1.html,76.0,250.0,4.78,,31.5,119.0,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tarik Black,WR,Texas,0,0,https://www.sports-reference.com/cfb/players/tarik-black-1.html,74.0,213.0,4.54,15.0,40.0,132.0,6.91,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Josh Blancato,WR,Georgia Tech,0,0,https://www.sports-reference.com/cfb/players/josh-blancato-1.html,69.0,182.0,4.55,17.0,32.0,124.0,6.9,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Joshuah Bledsoe,S,Missouri,6,188,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Quinton Bohanna,DL,Kentucky,0,0,https://www.sports-reference.com/cfb/players/quinton-bohanna-1.html,76.0,327.0,5.46,,29.0,99.0,8.21,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Nick Bolton,LB,Missouri,2,58,https://www.sports-reference.com/cfb/players/nick-bolton-1.html,71.0,237.0,4.6,24.0,32.0,,7.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Ian Book,QB,Notre Dame,4,133,https://www.sports-reference.com/cfb/players/ian-book-1.html,72.0,211.0,4.65,,32.5,115.0,6.99,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dicaprio Bootle,CB,Nebraska,0,0,https://www.sports-reference.com/cfb/players/dicaprio-bootle-1.html,69.0,180.0,4.38,16.0,36.5,126.0,6.77,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tuf Borland,LB,Ohio St.,0,0,https://www.sports-reference.com/cfb/players/tuf-borland-1.html,72.0,229.0,4.98,15.0,32.5,109.0,7.17,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Larry Borom,OL,Missouri,5,151,https://www.sports-reference.com/cfb/players/larry-borom-1.html,77.0,322.0,5.12,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
